donor,region,roi,other_immune,epithelial,unknown,PP cell,beta cell,macrophage,cd8_t,cd4_t,b_cell,mdsc,fibroblast,alpha cell,endothelial,acinar
HPAP-036,Body of pancreas,ROI2,1475.0,1075.0,787.0,0.0,0.0,206.0,48.0,37.0,229.0,84.0,10.0,0.0,0.0,0.0
HPAP-036,Body of pancreas,ROI3,1374.0,1141.0,862.0,0.0,213.0,18.0,4.0,8.0,311.0,47.0,0.0,0.0,324.0,0.0
HPAP-036,Head of pancreas,ROI1,1415.0,837.0,0.0,0.0,102.0,145.0,9.0,36.0,41.0,34.0,750.0,0.0,49.0,0.0
HPAP-036,Head of pancreas,ROI2,1416.0,867.0,0.0,0.0,173.0,164.0,32.0,12.0,9.0,11.0,590.0,0.0,0.0,0.0
HPAP-036,Head of pancreas,ROI3,1043.0,444.0,0.0,0.0,39.0,139.0,14.0,9.0,10.0,6.0,0.0,0.0,484.0,0.0
HPAP-036,Tail of pancreas,ROI1,687.0,498.0,509.0,0.0,278.0,93.0,121.0,5.0,82.0,6.0,587.0,0.0,0.0,0.0
HPAP-036,Tail of pancreas,ROI2,931.0,769.0,531.0,0.0,261.0,41.0,224.0,19.0,71.0,9.0,0.0,0.0,313.0,0.0
HPAP-036,Tail of pancreas,ROI3,1206.0,46.0,781.0,0.0,204.0,91.0,948.0,26.0,22.0,19.0,0.0,0.0,357.0,0.0
HPAP-037,Body of pancreas,ROI1,778.0,1501.0,834.0,0.0,0.0,34.0,22.0,2.0,0.0,154.0,0.0,0.0,240.0,0.0
HPAP-037,Body of pancreas,ROI2,942.0,871.0,728.0,0.0,0.0,42.0,26.0,1.0,0.0,65.0,0.0,0.0,118.0,0.0
HPAP-037,Body of pancreas,ROI3,369.0,2085.0,895.0,0.0,0.0,30.0,40.0,9.0,0.0,20.0,618.0,0.0,220.0,0.0
HPAP-037,Head of pancreas,ROI1,1202.0,1112.0,539.0,71.0,0.0,43.0,26.0,3.0,0.0,311.0,0.0,0.0,164.0,0.0
HPAP-037,Head of pancreas,ROI2,337.0,2361.0,792.0,0.0,0.0,39.0,31.0,4.0,0.0,233.0,919.0,0.0,265.0,0.0
